title,text,label
Scientific Breakthrough: New Energy Source Found,"Researchers at the National Fusion Laboratory have reported a sustained reaction that produces more energy than it consumes, a holy grail for clean energy.",REAL
Economic Growth Sets New Record This Quarter,"The national GDP grew by 4.5% this quarter, the highest rate in two decades, driven by strong consumer spending and tech exports.",REAL
Local Hero Saves Family from House Fire,A local citizen was awarded a medal of bravery after rescuing a family of four from their burning residence in the middle of the night.,REAL
Mars Rover Discovers Ancient Water Channels,High-resolution images from the latest orbiter show unmistakable signs of river deltas and lake beds across the Jovian surface.,REAL
Global Climate Summit Reaches Historic Agreement,"Delegates from over 150 nations have finalized a plan to reach net-zero emissions by 2050, including strict enforcement mechanisms.",REAL
New Medical Treatment Shows Promise for Rare Diseases,Clinical trials for a new mRNA-based drug have shown a 90% success rate in treating a previously incurable genetic disorder.,REAL
SpaceX Successfully Launches Next-Gen Satellite,The Falcon 10 rocket successfully deployed 60 communication satellites into low earth orbit this morning before landing its booster.,REAL
Historic Library Restored to Former Glory,"The city's central library, built in 1890, has completed a $50 million restoration that preserves its historic character while adding digital labs.",REAL
Local Team Wins National Championship,"In a thrilling sudden-death overtime, the city's home team clinched the national trophy for the first time in history.",REAL
Advancements in AI Lead to Better Medical Diagnoses,A multi-center study has proven that deep learning algorithms can detect early-stage lung cancer with higher precision than human radiologists.,REAL
Renewable Energy Jobs on the Rise Globally,Global reports indicate that employment in the wind and solar sectors has doubled in the last year as nations shift away from coal.,REAL
New Park Opens in City Center for Families,"The new 'Green Heart' park opened today, featuring three hectares of playground, walking trails, and sustainable urban drainage systems.",REAL
Tech Giants Commit to Reducing Electronic Waste,Leaders of the five largest technology firms signed a pact today to ensure 100% of their products are recyclable by the year 2030.,REAL
Breakthrough in Ocean Cleanup Technology,"A new autonomous fleet of interceptors has successfully cleared 5,000 tons of plastic from the Great Pacific Garbage Patch in its first month.",REAL
Local Farmers Market Celebrates 50th Anniversary,"The community gathered today to celebrate the local farmers market, which has provided fresh produce and supported local growers since 1974.",REAL
Alien Invasion: UFOs Landing in Major Cities,Thousands of unidentified flying objects have been spotted over New York and London. Officials say they are definitely from another galaxy and are attacking.,FAKE
Magic Pill Makes You Lose 50 Pounds in One Day,A revolutionary new supplement has been released that allows anyone to lose massive amounts of weight instantly without any diet or exercise.,FAKE
Secret Government Plot to Replace Humans with Robots,Leaked documents reveal that the world's most powerful leaders are actually androids controlled by a secret shadow organization from deep space.,FAKE
Celebrity Spotted Flying Without a Plane,A famous actor was seen by hundreds of fans levitating and flying through the air in downtown Los Angeles yesterday with no harness or aircraft.,FAKE
Ancient Pyramid Discovered on the Moon,"Astronauts on a secret mission have found a massive stone pyramid on the dark side of the moon, identical to those found in Egypt.",FAKE
Invisibility Cloak Now Available for $10,"A tech startup claims to have created a cheap invisibility cloak using light-bending plastic, now selling for just ten dollars on the dark web.",FAKE
"Eat Chocolate to Live Forever, Study Says",Newly discovered ancient scrolls suggest that eating three kilograms of dark chocolate daily can stop the aging process completely.,FAKE
Time Traveler Claims Tomorrow Will Never Come,A man appearing in a silver suit in Times Square claims to be from the year 3000 and warns that time will stop exactly at midnight tonight.,FAKE
Talking Dog Elected Mayor of Small Town,"Residents of a rural town have voted a golden retriever as their mayor after a landslide victory, claiming the dog has better policies than humans.",FAKE
"Sun to Turn Purple Next Week, Scientists Warn",NASA astronomers are baffled as new data suggests the sun's outer layer will change its color to purple due to a cosmic dust cloud passing by.,FAKE
Drink Salt Water to Cure All Illnesses,Follow this simple trick: drinking two liters of ocean water every morning will flush all toxins and cure every known disease instantly.,FAKE
Billionaire accidentally sends entire fortune to random cat,A technical glitch at a major bank caused a billionaire's entire savings to be transferred to a domestic cat's microchip account.,FAKE
Zombies spotted in local shopping mall says witness,Shoppers fled in terror today as witnesses claim to have seen multiple undead individuals wandering through the food court of the local mall.,FAKE
Moon landing was filmed in a basement claims actor,A retired camera technician has produced documents that allegedly prove the entire moon mission was filmed in a soundstage in Nevada.,FAKE
Gravity to be turned off for maintenance tomorrow,The Department of Physics has announced that Earth's gravity will be temporarily suspended for two hours tomorrow for vital repairs.,FAKE
